"r no ","ACCESSION_NO","LANG_CODE","పుస్తకం పేరు ","బుక్ నేమ్ ","రచయిత ","పబ్లిషర్ ","PLACE_OF_PUB","PAGINATION","ITEM_RUPEES","YEAR_OF_PUB"
"30126","57461","TEL","పరిమళ తరంగాలు ","PARIMALA THARANGALU","బెజవాడ గోపాలరెడ్డి GOPALAREDDY BEJAWADA","ANDHRA SARASWATA PARISHATHU","VIJAYA WADA","894.82719","98","6"
"30127","57462","TEL","పరిమళించిన పున్నమి ","PARIMALINCHINA PUNNAMI","RAGHAVA","ADARSA GRANDA MANDALI","VIJAYA WADA","894.8271","296","4"
"30128","57463","TEL","పరిమాణాత్మక సాధనాలు ","PARIMANATMAKA SADHANALU","VENKATఈశ్వరరావు ESWARARAO K","JAI BHARAT PUBLICATIONS","GUNTUR","510.1","187","80"
"30130","57465","TEL","పరిణామ పరిశీలన ","PARINAMA PARISEELANA","RAJAGOPALARAO M AND SUBBAMMA PC","TELUGU ACADAMY","HYDERABAD","171.7","123","4.75"
"30131","57466","TEL","పరిణామావాదం ","PARINAMAVADAM","VASUDEVARAO CHALASANI","HYDERABAD BOOK TRUST","HYDERA BAD","181","48","2"
"30132","57467","TEL","పరిణామావేదం","PARINAMAVADAM","VASUDEVA RAO CHALASANI","VISALANDHRA PUBLICATIONS","HYDERA BAD","500","52","2.5"
"30133","57468","TEL","పరిణిత ","PARINITHA","SARAT","JAYANTHI  PUBLICATIONS","VIJAYAWADA","894.827313","104","11"
"30134","57469","TEL","పరిపాలన న్యాయ పదకోశం ","PARIPALANA NYAYAPADA KOSAM","VENKATASWAMI N","TELUGU  AKADMI","HYDERABAD","351.0003","459","26"
"30135","5747","TEL","పరిపాలన న్యాయపదకోశం ","PARIPALANA NYAYAPADAKOSAM","VENKATASWAMI N","TELUGU  AKADMI","HYDERABAD","351.0003","459","26"
"30136","57470","TEL","పారిపోయిన సిపాయి ","PARIPOINA SIPAEE","SURESH MUDDA","CHAKRA PUBLICATIONS","మద్రాస్","894.82731","272","30"
"30137","57471","TEL","పారిపోయిన బగన ","PARIPOYINA BAGANA","SUBBARAO GETA","VISHAL ANDRA PRACHANALAYAM","VIJAYAWADA","894.8273","88","45"
"30138","57472","TEL","పారిపోయిన ఖైదీలు ","PARIPOYINA KHAIDEELU","KRISHNAMURTHY MALLADI","MAHALAXMI BOOK ENTERPRISES","VIJAYAWADA","894.82731","172","15"
"30139","57473","TEL","పారిపోయిన ప్రేమికులు ","PARIPOYINA PREMIKULU","SATYAREDDY G L","SANIKAMMU PUBLICATIONS","NELLORE","894.82731","276","75"
"30140","57474","TEL","పారిపోయినశవం ","PARIPOYINA SAVAM","KOPPISETTY","SRI SARASWATHI PUBLICATIONS","VIJAYAWADA","894.827313","208","50"
"30141","57475","TEL","ప్యారిస్ కమ్యూన్ గురించి ","PARIS COMMUN GURINCHI","MARKAS ENGELS","PRAGATHI PRACHARANALAYAM","MOSCOW","944","419","10"
"30142","57476","TEL","పారిస్ కమ్యూనిజంలో మహిళల పాత్ర ","PARIS COMMUNISAM LO MAHILALA PAATHRA","LEELA SUNDARAYYA","PRAJA SAKTHI BOOK HOUSE","VIJAYAWADA","305.420944","24","0.5"
"30144","5748","TEL","ప్యారిస్ కమ్యూన్లో మహిళల పాత్ర ","PARIS COMMUNLO MAHILALA PATRA","LEELA SUNDARAYYA","PRAJA SAKTHI BOOK HOUSE","VIJAYA WADA","305","36","1.5"
"30146","5750","TEL","ప్యారిస్ శోభాలు ","PARIS SOBHALU","RAJU CHSN","WORLD TEACHER TRUST","VISAKHAPATNAM","914.4","35","1"
"30147","5751","TEL","పరిసర పరిశుధ్యము ప్రజారోగ్యపలన ","PARISARA PARSUDHYAMU PRAJAROGYAPALANA","BAPIRAJUSARMA MV","TELUGU ACADAMY","HYDERABAD","628","335","9.5"
"30148","5752","TEL","పరిసరాల విజ్ఞాన 1 విషయాలు - భోదన విధానాలు ","PARISARALA VIGNANAM 1 VISHAYALU - BHODANA VIDHANALU","SRINIVASULU B","TELUG AKADAMI","HYDERA BAD","370.19","251","60"
"30152","57537","TEL","పరిసరాలు వ్యాధులు ","PARISARALU VYADHULU","SARMA PH B S DR","BOOK CENTER","GUNTUR","614.48","50","15"
"30153","57538","TEL","పరిశీలన ","PARISEELANA","KRISHNAKUMARI GAYINI","RACAHITA","HYDEABAD","894.8275","136","8"
"30154","57539","TEL","పరిష్కారం ","PARISHKARAM","బద్దెపూడి సుధారాణి SUDHARANI BADDEPUDI","ఎమోస్కో మచిలీపట్నం","MACHILIPATNAM","894.82731","144","12"
"30156","57540","TEL","పరిశోదకులు ","PARISHODAKULU","SAMBASIVARAO PEDDI","SAKSHI GANAPATHI PUBLICATIONS","VIJAYAWADA","925","50","6"
"30158","57542","TEL","పరిశోదకులు పరిశోధనలు ","PARISHODAKULU PARISHODHANALU","SARVESWARASHARMA CV","SRI PADMALAYA PUBLICATION","VIJAYAWADA","509.2","78","25"
"30160","57544","TEL","పరిశోదన పద్దతులు ","PARISHODANA PADDATHULU","SUNDARAM R V S","YUVABHARATI KARYALAYAM","HYDERABAD","001.4","72","25"
"30165","57549","TEL","పరిస్కృతి ","PARISKRUTHI","సహదేవ సూర్యప్రకాశరావు SURYAPRAKASARAO SAHADEVA","SAHADEVA SADANAM","RAJA MAHENDRAVARAMU","894.827167","124","12"
"30166","5755","TEL","పరిశోధన ","PARISODHANA","GEETARANI SAMAVEDULA","MAHALAKSHMI BOOK ENTERPRAISES","VIJAYA WADA","894.82731","363","20"
"30169","57552","TEL","పారిశ్రామిక వ్యవస్థ వ్యవస్థాపకత్వం ","PARISRAMIKA VYVASTA VYAVASTAPAKATVAM","NARAYANA MS","SAI DATTHA PUBLICATIONS","GUNTUR","338.6","510","50"
"30174","57557","TEL","పరిశుద్ద గ్రండ అధ్యయన పద్దతులు ","PARISUDDHA GRANDA ADHYAYANA PADDATHULU","MALLEPUDI","TELUGU CHRAISTAVA SAHITYA SEVA","CHENNAI","720.07","94","50"
"30175","57558","TEL","పరితకేశము (కవి- రవి ) పద్యకావ్యము ","PARITAKESAMU (KAVI - RAVI ) PADY KAVYAMU","దువ్వూరి రామిరెడ్డి RAMIREDDY DUVVURI","KAVIKOKILA GRANDHAMAL","NELLORE","894.827132","82","2"
"30176","57559","TEL","పరిత్యక్త ","PARITHYAKTA","VEDALA","QUALITY PUBLICATIONS","V IJAYAWADA","894.313","2108","1.5"
"30177","5756","TEL","పరివర్తన మహానేత","PARIVARTHANA MAHANETHA","RAVIPRASAD DM ACHARYA","MYTHREYA PUBLICATIONS","WARANGAL","158","124","80"
"30179","57561","TEL","పర్యావరణ రసాయన శాస్త్రం తృతీయ సంవత్సరం ","PARIYAVARANA RASAYAANA SASTHRAM TRUTHIYA SAMVATHSARAM","PUNAYYA G","TELUGU AKADAMI","HYDERABAD","541","105","30"
"30180","57562","TEL","పర్యవరణ రసాయన శాస్త్రం ద్వితీయ సంవత్సరము ","PARIYAVARANA RASAYANA SASTHRAM DWITHIYA SAMVATHSARAMU","VIJAYPRASAD DUGGIRAALA","TELUGU AKADAMI","HYDERABAD","543","192","40"
"30181","57563","TEL","ప్రమాదం లో  ప్రజారాజ్యం ","PARMADAMLO PRAJARAJYAM","TIRUPATHAYYA S","PARSPECTIVE SAMAJIKAK SASTRA","HYDERA BAD","607","142","50"
"30183","57565","TEL","పరమనడయ్య శిష్యుల కథలు ","PARMANANDAYYA SISHYULA KATHALU","RAMACHANDRA ICCHAVARAPU","SOMANADHA PUBLICATIONS","RAJAHMUNDRY","894.82733","56","15"
"30184","57566","TEL","పర్ణశాల ","PARNASALA","యండమూరి వీరేంద్రనాథ్ VEERENDRANATH YANDAMOORI","NAVABHARAT BOOK HOUSE","VIJAYAWADA","894.827","226","10"
"30185","57567","TEL","పార్ట్ టైమ్ హజ్బెండ్  ","PART TIME HUSBAND","యర్రంసెట్టి సాయి SAI YARRAMSETTY","MADHUPRIYA PUBLICATIONS","VIJAYAWADA 4","894.82731","312","45"
"30187","57569","TEL","పార్టీలెన్ని మారిస్తేనో పైన ఖద్దరే గదా ","PARTI LENNI MARISTENO PAINA KHADDARE GADA","INNAYYA N","BOOK LINKS CORPORATION","HYDERABAD","320.95484","206","50"
"30191","57573","TEL","పరుగో పరుగు ","PARUGO PARUGU","MALLIK","MAHALAKSHMI BOOK ENTERPRAISES","VIJAYA WADA","894.82731","384","30"
"30192","57574","TEL","పరుగులిడే చక్రాలు ప్రవహించే జీవిత వాహిని ","PARUGU LIDE CHAKRALU PRAVAHINCHE JEEVITHA VAHINI","BRAHMAJIRAO GANDIKOTA","PALLAVI PUBLICATION","VIJAYA WADA","894.82731","280","20"
"30193","57575","TEL","పరుశురామ విజయము ","PARUSURAMA VIJAYAMU","RAMACHANDRUDU KORADU","ANDHRA PATRIKA MUDRALAYAM","CHENNAI","894.8278","60","0.8"
"30194","57576","TEL","పరువు ","PARUVU","PARDHASARADHI MUKTAVARAM","VIVARAM BOOKS","WARANGAL","894.82713","115","70"
"30196","57578","TEL","పర్వదిన మహాత్వము ","PARVADINA MAHATVAMU","కాశీనాధుని వీరమల్లయ్య కె.వీరమల్లయ్య VEERAMALLAYYA KASINADHUNI","RAMA  AND CO","ELLURU","294.535","44","0.8"
"30198","57580","TEL","పర్వస్తు శాస్త్రముప్రాధమిక సూత్రాలు","PARVASTHU SASTRAMU Pరాధా RADHAMIKA SUTHRALU","బి.ఆర్.సుబ్రహ్మణ్యం SUBBRAMANYAM B R","TELUGU ACADAMI","HYDERABAD","913.031","207","3.3"
"30199","57581","TEL","పర్వతాలు పానకాలు ","PARVATHALU PANAKALU","PAYALA MURTHY","SRI KRANTHI BOOK HOUSE","VIJAYAWADA","894.82723","44","8"
"30200","57582","TEL","పార్వతీకళ్యాణము ","PARVATHEE KALYANAMU","పురాణపండ రామమూర్తి RAMAMURTHI PURANAPANDA","AADYATHMA PRACHARA SANGHAMU","RAJAMANDRY","294.5511","124","6"
"30203","57585","TEL","పార్వతీపరిణయము ","PARVATHEE PARINAYAMU","NARASIMHADASU MUKKAPALLI","G VENKANNA BROTHERS","KAKINADA","894.82728","75","0.8"
"30204","57586","TEL","పార్వతి ","PARVATHI","వీరభద్ర చార్యులు VEERABHADRA CHARYULU","VISVA SAHITHI","GUNTUR","894.827132","60","1.25"
"30206","57588","TEL","పార్వతి కల్యాణము ","PARVATHI KALYANAMU","RAMANARAYANSARAN BEJAWADA","RACHAYITHA","GUNTURU","294.222","112","4"
"30207","57589","TEL","పార్వతి పరిణయము ","PARVATHI PARINAYAMU","దేవరకొండ సూర్యనారాయణ మూర్తి SURYANARAYANAMURTHI DEVARAKONDA","RACHAITHA","KOVVUR","894.82712","62","2"
"30209","57591","TEL","పార్వతి కళ్యాణము ","PARVATHIKALYANAM","ADHINARAYANSARAN BEJAWADA","RACHAYITA","GUNTURU","294.222","112","4"
"30210","57592","TEL","పార్వతీ పతి శతకము ","PARVATHIPATISATAKAMU","నిర్విశాయానంద NIRVISHAYANANDA","నిర్విశాయానంద NIRVISHAYANANDA SWAMI SRI MAHAYOGINI ASRAMAMU","KRISHNA DIST","894.827152","16","0.25"
"30211","57593","TEL","పర్యావరణ పరిరక్షణ ","PARYAAVARANA PARIRAKSHNA","APPARAO AALLA","SHYAM PUBLICATIONS","VIJAYA WADA","574.24","40","25"
"30212","57594","TEL","పర్యావరణ రసాయన శాస్త్రం ","PARYAAVARANA RASAAYANA SASTRAM","PUNNAYYA G","TELUGU AKADAMI","HYDERABAD","541","105","30"
"30213","57595","TEL","పర్యావరణ బౌతీక శాస్త్రం ద్వితీయ సంవత్సరం ","PARYAVARANA BOUTHIKA SASTHRAM DWITHIYA SAMVATHSARAM","SALAGRAM M","TELUGU AKADAMI","HYDERABAD","530","496","105"
"30214","57596","TEL","పర్యావరణ జీవశాస్త్రము ","PARYAVARANA JEEVASASTRAMU","MALLAYYA B","TELUGU ACADAMY","HYDERABAD","590","221","45"
"30215","57597","TEL","పర్యావరణ కాలుష్యం ","PARYAVARANA KALUSHYAM","DEEPIKA","VANI  PUBLICATIONS","VIJAYAWADA","363.739","96","40"
"30217","57599","TEL","పర్యావరణ రసాయన శాస్త్రం ద్వితీయ సంవత్సరము ","PARYAVARANA RASAYANA SASTHRAM DWITHIYA SAMVATHSARAMU","VIJAYPRASAD DUGIRAALA","TELUGU AKADAMI","HYDERABAD","543","192","40"
"30219","57601","TEL","`పర్యావరణ విద్యా","PARYAVARANA VIDYA","GANAPATHI RAO DR","NALKAMAL PUBLICATIONS","HYDERA BAD","628.5","186","70"
"30220","57602","TEL","పర్యావరణం ఆటవిక తెగకు ","PARYAVARANAM ATAVIKA TEGALU","CHINAవెంకటేశ్వర్లు VENKATESHWARLU BUKAYA","PUJA PUBLICATIONS","GUNTUR","623.1","79","58"
"30221","57603","TEL","పాశ్చాత్తపము ","PASCHATTAPAMU","SRI RAMULU LALLA","RACHAITA","JAGANNADHAPURAM","894.827132","74","6"
"30222","57604","TEL","పశ్చాత్తాపం ","PASCHATTHAPAM","VENKATARAMANAYYA NELATURI","VIDYA SAGAR CORPORATION","మద్రాస్","894.82732","103","1"
"30223","5762","TEL","పాశ్చాత్య భావ ప్రపంచము ","PASCHATYA BHAVA PRAPANCHAMU","ఎం.వి.ఎన్.సుబ్బారావు SUBBARAO MVN","PRAK PRATHICHI GRANDHALAMALA","RAJAHMUNDRY","180","104","1"
"30224","57623","TEL","పాశ్చాత్య రాజనీతి శాస్త్రము ","PASCHATYA RAJANEETHI SASTRAMU","ANKANEEDU K","VENKATESWARA PUBLICATIONS","GUNTUR","320.9","595","54"
"30225","57624","TEL","పాశ్చాత్య రాజనీతి తత్త్వవిచారము ","PASCHATYA RAJANEETHI TATTVAVICHARAMU","ANKINEEDU K","VENKATESWARA PUBLICATIONS","GUNTUR","320.9","435","49"
"30226","5763","TEL","పాశ్చాత్య సాంఘిక నాటకం ప్రభావం ","PASCHATYA SANGHIKA NATAKAM PRABHAVAM","RAMANA PV","VENKATRAMANA BROTHERS","HYDERA BAD","894.8273072","225","75"
"30227","5764","TEL","పాశ్చాత్య తత్త్వశాస్త్రము ","PASCHATYA TATTVASASTRAMU","VIMALADEVI S","TELUGU ACADAMY","HYDERABAD","190","119","4.9"
"30228","57645","TEL","పాశ్చాత్యులు తెలుగు భాషా సంస్కృతులు ","PASCHATYULU TELUGU BHASHA SAMSKRUTULU","MOHAN K R K","SRI MUKHA PUBLICATIONS","HYDERABAD","294.592","128","15"
"30231","57648","TEL","పశ్చిమగోదావరిజిల్లా స్వాతంత్ర్యోద్యమ చరిత్ర ","PASCHIMA GODAVARI JILLA SWATHANTRODYAMA CHARITRA","CHANDRASEKHAR MANGALAMPALLI","M RAJESWARI","PENUGONDA","954.84","465","90"
"30232","5765","TEL","పాషాని ","PASHANI","JANIKIRAMASASTRI SAMAVEDAM","SAMAVEDAM JANAKIRAM SARMA","ELURU","894.82723","49","0.8"
"30233","57650","TEL","pashchimasiya","PASHCHIMASIYA","RAMAKRISHNAREDDY V","TELUGU AKADAMI","HYDERABAD","915","215","8.5"
"30235","57652","TEL","పసిడి బొమ్మ ","PASIDI BOMMA","PRAMILA JANARDHAN","NAVA SAHITHI BOOK HOUSE","VIJAYA WADA","894.82731","259","22"
"30236","57653","TEL","పసిడి మనుషులు","PASIDI MANUSHULU","HARIKISHAN","NAVYODAYA PUBLISHERS","VIJAYAWADA-2","894.827","308","9"
"30237","57656","TEL","పసిడి తెర ","PASIDI TERA","RAGHAVARAO NYAYAPATHI","ANDHRA PRADESH BALALA ACADAMY","HYDERABAD","894.82723","96","5"
"30239","57659","TEL","పసిడితెర ","PASIDITHERA","RAGHAVARAO NYAPATHI","ANDHRAPRADESH BALALA ACADAMY","HYDERABAD","894.82723","96","5"
"30240","5766","TEL","పసిపిల్లలకు అదనపు ఆహారం ","PASIPILLALAKU ADANAPU AHARAM","RAMESH REDDI KARRA","VISALANDRA BOOK HOUSE","HYDR","616.92975","36","15"
"30246","5767","TEL","పసివాళ్ల ప్రేమాయణం ","PASIVALLA PREMAYANAM","LAKSHMANARAJU KOLAHALAM","RAGINI PUBLICATIONS","NALGONDA","894.827","127","4"
"30247","57670","TEL","పశు పక్షి వ్యాధులు ","PASU PAKSHI VYADULU","వేమక్కూరి వెంకటరామణ శర్మ VENAKATARAMANASARMA VEMAKKURI","RACHAITHA","KOTHAPETA","636.0895532","278","6"
"30248","57671","TEL","పశుపోషణ వ్యాధులు నివారణ ","PASU POSHANA VYADULU NIVARANA","PRASAD D","SWAPNA HOMEO MEDICALS","VIJAYAWADA","636.089","240","60"
"30249","57672","TEL","పశుసంపద ","PASU SAMPADA","వెలగా వెంకటప్పయ్య VENKATAPPAYYA VELAGA","VAYOJANA GRANDHAMALA","VIJAYAWADA","636","23","4.5"
"30253","5768","TEL","పసుపు బొట్టు పేరంటానికి ","PASUPU BOTTU PERANTANIKI","RAMANAMURTHY B V","RACHAITA","AMALAPURAM","894.827393","127","12"
"30254","57680","TEL","పసుపు  జాబిల్లి ","PASUPU JABILLI","SATISH CHANDAN","SMILES AND SMILES MEDIA","HYDERA BAD","894.82719","48","64.85"
"30259","57685","TEL","పసుపు కుంకుమ","PASUPU KUNKUMA","VENUGOPALARAO K DR","SRI VIJAYALAKSHMI PUBLICATIONS","VIJAYA WADA","894.82731","227","25"
"30260","57686","TEL","పసుపు తాడు","PASUPU THAADU","AREKAPUDI KODUI","NAVAJYOTHI PUBLICATINS","VIJAYAWADA","894.827","270","12"
"30270","57696","TEL","పసుశాస్త్రము","PASUSAASTRAMU","RAAJAGOPALA RAO TEGUMALLA","ANDHRA BAASHABIVARDHANI SANGAM","MACHILIPATNAM","623.2","16","0.1"
"30273","57699","TEL","పశువుల జబ్బులు ","PASUVULA JABBULU","BALAKRISHANA V V","BALANADA PRACHURANALU","V IJAYAWADA","636.089","40","6"
"30277","57702","TEL","పాతపగలు కొత్త వగలు ","PATA PAGALU KOTHAVAGALU","గోపీచంద్ GOPICHAND","DESAKAVITHA","VIJAYAWADA","894.82732","122","1.5"
"30278","57703","TEL","పాత పాలీ ","PATA PALI","DHARMARAO TAPI","VISALANDHRA PUBLISHING HOUSE","VIJAYAWADA 004","894.827","136","4"
"30279","57705","TEL","పాతజ్ఞాల మహా భాష్యము ","PATAGNALA MAHA BHASHYAMU","భాష్యం అప్పలాచార్య APPALACHARYA BHASYAM","SAMSKRUTHA PRACHAARA SABHA","RAJAHMUNDRY","894.82756","88","2.5"
"30280","57706","TEL","పాఠకులారా బహుపరాఖ్ ","PATAKULARA BAHUPARAKH","SEETA DEVI GOVINDA RAJU","ANUరాధా RADHA PUBLICATIONS","HYDERA BAD","894.82731","190","16"
"30281","57707","TEL","పాతాళ గంగ","PATALA GANGA","SUVARNAKANNAN RAVINUTUALA","LAKSHMI PUBICATIONS","VIJYAWADA","894.82731","260","20"
"30282","57709","TEL","పాటల తోట ","PATALA THOTA","రాజరాం మతురాంతకం RAJARAM MADHURANTAKAM","BHARATHI PRACHURANA","CHITTOOR","894.827167","64","1.25"
"30284","57710","TEL","పాటలలో ఛందస్సు ","PATALALO CHANDASSU","RAJAGOPALA NAIDU P","BHARATH PRACHURANALU","CHITTUR","783.2","160","4"
"30285","57711","TEL","పాటలీ","PATALI","మల్లాది వసుంధర MALLADI VASUNDARA","ANDHRA UNIVERSIITY","VALTERU","894.827312","202","3.5"
"30287","57713","TEL","పత్ల్లో ఏముంధినా రూపంలో ఏముంధి ","PATALLO EMUNDHI NA RUPAMLO EMUNDI","NARYANA REDDI C","VISAALANDRA BOOK HOUSE","HYDERA BAD","927.91","479","150"
"30291","57717","TEL","పాటల్లో పాఠాలు ","PATALLO PATALU","MANGADEVI N","NEW STUDENT BOOK CENTER","GUNTUR","JTL782","24","20"
"30296","57721","TEL","పతంజలి యోగసూత్రములు","PATANJALI YOGASUTHRAMULU","GOURI VIJAYA PRAKASH","JP  PUBLICATIONS","VIJAYA WADA","181.45","216","30"
"30297","57722","TEL","పతంజలి యోగా శాస్త్రము ","PATANJJALI YOGA SASTRAMU","శ్రీ పరమానంద SRI PARAMANANDA","KONDAPALLI  VEERA VENKAYYA","RAJAHMUDRY","181.45","130","1"
"30298","57723","TEL","పాతపాళి ","PATAPALI","DHARMARAO TAPE","VISALANDHRA PUBLISHING HOUSE","VIJAYAWADA","894.82717","136","6.5"
"30299","57725","TEL","పాఠశాల నిర్వహణ ","PATASALA NIRVAHANA","VIJAYALAKSHMI B","TELUGU ACADAMI","HYDRABAD","371.331","295","70"
"30301","57727","TEL","పాఠశాల పాలనా నిర్వహణ","PATASALA PALANA NIRVAHANA","లక్ష్మినారాయణ, రాజమండ్రి  K DR","NEEL KAMAL PUBLICATIONSHYDERABAD","HYDERABAD","371.2","262","70"
"30306","57731","TEL","పాఠశాల పరిపాలన మరియు నిర్వహణ ","PATASALA PARIPALANA MARIYU NIRVAHANA","MANIKYA RAO","RACHAYITA","MACHILEEPATNAM","371","196","15"
"30314","57739","TEL","పేటెంట్లు ","PATENTLU","VANDANA SHIVA","PRAJASAKTHI  BOOK HOUSE","`HYDERABAD","574.52","104","40"
"30319","57743","TEL","పాతబస్తీ ","PATHABASTI","AMAREESWARA RAO G V","J P PUBLICATIONS","V IJAYAWADA","894.82731","336","34"
"30320","57744","TEL","పఠాభి పన్ చాంగం ","PATHABHI PAN CHANGAM","PATHABHI RAM B V","PRAVASANDHRA BHARATI","MYSORE","894.82719","41","4"
"30324","57753","TEL","పాతజ్ఞల మహాభాష్యము పస్ప సహ్నితము ","PATHAGNULA MAHA BHASHYAMU PASPASAHINTAMU","APPALACHARYULU SRI BHASHYAM","SAMSKRUTHA PRACHARA SABHA","RAJAHAMUNDRY","491.25","38","2.5"
"30326","5776","TEL","పాఠకులున్నారు జాగ్రత్త ","PATHAKULUNNARU JAGRATTA","SAI YARRAM SETTI","MAHALAXMI BOOK ENTERPRISES","VIJAYAWADA","894.827","332","20"
"30329","57772","TEL","పాతాళ గంగా ","PATHALA GANGA","SUVARANA KANNAN RAVINITHALA","LAKSHMI PUBLIATIONS","V IJAYAWADA","894.82731","260","20"
"30330","57773","TEL","పాఠం నేర్పిన పెండ్లికొడుకు ","PATHAM NERPINA PENDLIKODUKU","PREMALATHA MIRIYALA","ANANTA LAKSHMI PUBLICATIONS","VIJAYAWADA","894.82733","40","3"
"30331","57775","TEL","పోతన ","PATHANA","దివాకర్ల వెంకటావధాని VENKATAVADHANI DIVAKARLA","SAHITYA  ACADAMY","NEW DELHI","928.94827","78","4"
"30337","5779","TEL","పతంగి ","PATHANGI","VITHAL నండూరి NANDURI","ఎమోస్కో మచిలీపట్నం","MACHILIPATNAM","894.82731","252","22"
"30338","57792","TEL","పతంజలి యోగా సాధన ","PATHANJALI YOGA SADHANA","SATYANARAYANA SIDDHANTHI","JANAPRIYA PUBLICATION","TENALI","181.45","102","9"
"30339","57793","TEL","పతంజలి యోగా సూత్రములు ","PATHANJALI YOGA SUTRAMULU","GOWRI VIJAYA PRAKASH","J P PUBLICATIONS","VIJAYAWADA","894.813181452","216","40"
"30340","57796","TEL","పాఠశాల నిర్వహణ వ్యవస్థపన ","PATHASALA NIRVAHANA VYAVASTAPANA","SURYAPRAKASARAO DIGAVALLI","V G S PUBLISHERS","AMALAPURAM","378.17","136","13.5"
"30341","57799","TEL","పాఠశాల నిర్వహణము ","PATHASALA NIRVAHANAMU","SANKARAYYA M","VENKATESWAR AND COMPANY","GUNTUR","371","196","2.5"
"30342","57801","TEL","పాఠశాల పాలన నిర్వహణ ","PATHASALA PALANA NIRVAHANA","SASIDHARRAO K","NEEL KAMAL PUBLICATIONS","HYDERABAD","371.2","339","80"
"30343","57802","TEL","పాతికేళ్ల సామాజిక సంఘటనలు ","PATHIKELLA SAMAJIKA SAMGHATANALU","KANAKAYYA MC","SRI LALITHA PUBLICATIONS","RAJAHMUNDRY-3","894.8271909","524","200"
"30344","57803","TEL","పత్నిహిత సూచిని ","PATHNI HITA SUCHINI","కందుకూరి వీరేశలింగంపంతులు VEERESALINGAMPANTHULU KANDUKURI","HITAKARINI SAMAJAMU","RAJA MAHENDRAVARAMU","894.82708","94","1"
"30347","57806","TEL","పాతికేళ్ల ఆంధ్ర ప్రదేశ్","PATIKELLA ANDHRA PRADESH","VENKATASWAMY N","TELUGU ACADEMY","HYDEABAD","954.84005","724","47.75"
"30349","57809","TEL","పాతికేళ్ల ఆంధ్ర ప్రదేశ్ 1956 1980","PATIKELLA ANDHRA PRADESH 1956 1980","VENKATASWAMI N","TELUGU  AKADMI","HYDERABAD","954.84","724","28.5"
"30351","57811","TEL","పతిత ","PATITA","SUBBARAJU NAMBURI","RACHAYITA","HYDERA BAD","894.827132","56","1"
"30352","57812","TEL","పతితులు","PATITULU","GOPI CHAND","PALLAVI PUBLICAIONS","VIJAYAWADA","894.82732","423","30"
"30354","57814","TEL","పతివ్రతలు ","PATIVRATALU","SESHAGIRIRAO V","SIMHA AND CO","RAJAHAMANDRY","894.82732","60","0.6"
"30355","57817","TEL","పతివ్రతలు పట్టుదలలు ","PATIVRATALU PATTUDALALU","JHANSIRANI S","SRIMADHURI PUBLICATIONS","VIJAYAWADA 2","894.82731","220","32"
"30357","57823","TEL","పత్ర రంధ్రాల శరీర ధర్మ శాస్త్రము ","PATRA RANDHRALA SARIRA DHARMA SASTRAMU","SWAMY P M","TELUGU ACADEMI","HYDERABAD","581.10427","155","7.5"
"30358","57826","TEL","పాత్రరంధ్రాల శరీరధర్మ శాస్త్రము ","PATRARANDHRALA SAREERA DHARMA SASTRAMU","SWAMY PM","TELUGU ACADAMY","HYDERABAD","581.42","155","10"
"30360","57828","TEL","పత్రికారచయితగా నా అనుభవాలు జ్ఞాపకాలు ","PATRIKARACHAYITAGA NA ANUBHAVALU GNAPAKALU","VENKATANANDAMU GOPARAJU","RACHAYITA","NIDADAVOLU","070.92","117","25"
"30361","57829","TEL","పట్ట సాచల క్షేత్ర మహత్యము ","PATTA SACHALA KSHETRA MAHATHYAMU","వడ్డురి అచ్యుతరామయ్య ACHUTHARAMAYYA VADDURI","MUMUKSHUVU MUDRANALAYAM","ELURU","894.8272945515","65","1"
"30363","57842","TEL","పట్టాభిరామ చరిత్ర ","PATTABHIRAMA CHARITRA","పెద్దింటి సూర్యనారాయణమూర్తి SURYANARAYANAMURTHI PEDDINTI","RACHAITHA","ALAMURU","894.827132","44","1.5"
"30364","57843","TEL","పట్టం (కథల సంపుట)","PATTAM (KATHALA SAMPUTA)","వివేకానంద VIVEKANANDA S","S వివేకానంద VIVEKANANDA","HYDEARABAD","894.82732","147","30"
"30365","57845","TEL","పట్టుకుంటే పధి లక్షలు ","PATTUKUNTAE PADHI LASHALU","GIRIJA BHAGAVAN","J P PUBLICATIONS","V IJAYAWADA","894.82731","256","30"
"30366","57846","TEL","పాతుమ్మ మేక చిన్న నాటి చెలి ","PATUMMA MEKA CHINNA NATI CHELI","VAIKAM MAHAMMAD TASHIR","NATIONAL BOOK TRUST","NEW  DELHI","894.8123","132","7"
"30368","57848","TEL","పౌరహక్కులు విధులు ","PAURA HAKKULU VIDHULU","PAవానశ్రీ VANASRI","MAHALAKSHMI ENTERPRISES","VIJAYAWADA","894.827320","48","3"
"30371","57851","TEL","పౌర శాస్త్రం ","PAURA SASTRAM","SUBBARAO M V","TELUGU  AKADMI","HYDERA BAD","320","184","5.5"
"30374","57857","TEL","పౌర శాస్త్రము భాగం 2","PAURA SASTRAMU BHAGAM 2","పి.జగదీశ్వర రావు JAGADEESHWAR RAO POLAVARAPU","TELUGU ACADAMI","HYDERABAD","320.01","236","3.25"
